icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
a874e1,JBU2181,,1.717,1.7,-108.902169,41.752283,36000,False,351.5,249.86,-64.0,,36250.0,1624,False,0,0
a2fbec,UAL648,,0.182,0.0,-108.867933,44.025238,35975,False,374.4,244.87,64.0,,35725.0,3323,False,0,0
a69bcd,DAL464,,0.0,0.0,-108.81376,43.759662,32000,False,407.6,231.27,0.0,,31975.0,3432,False,0,0
ae6838,,,16.606,16.6,-108.522881,44.837769,29000,False,360.0,352.1,44.0,,,6664,False,0,0
a00c80,DAL952,,6.597,6.6,-108.517761,40.093506,36250,False,351.0,272.6,40.0,,,0664,False,0,0
406a35,BAW283,,0.326,0.0,-108.372155,45.523992,36000,False,479.5,207.85,-64.0,,35500.0,3307,False,0,0
a24297,N245AE,,42.805,14.5,-108.303581,39.391525,41000,False,530.7,86.98,,,41575.0,,False,0,0
acae2e,AAL2528,,0.323,0.0,-108.248626,45.696854,32000,False,349.3,272.46,0.0,,31525.0,6061,False,0,0
ada302,SKW5032,,4.092,0.0,-108.120575,42.937131,9150,False,234.4,312.06,,,9400.0,1474,False,0,0
a715a6,N5559W,,0.349,0.3,-107.880511,43.15858,22000,False,171.9,312.88,0.0,,21875.0,3734,False,0,0
ad3fd9,,,38.723,0.7,-107.747352,40.145905,35000,False,516.0,60.26,-64.0,,35525.0,,False,0,0
aba8ad,N850PR,,6.597,6.6,-107.711792,39.961624,28000,False,278.0,218.9,39.0,,,1422,False,0,0
a1ea70,SWA2016,,0.152,0.2,-107.650253,38.704056,40000,False,391.6,233.31,0.0,,40650.0,1411,False,0,0
abb9df,SWA142,,3.594,3.6,-107.611519,40.573254,32475,False,536.0,95.8,40.0,,,3326,False,0,0
ad6bdc,JBU278,,0.464,0.3,-107.142851,38.047051,32975,False,520.5,79.04,0.0,,33800.0,7760,False,0,0
a84d7a,N634KA,,0.312,0.0,-107.124172,42.427663,37000,False,565.2,107.51,,,36975.0,1404,False,0,0
acb0b6,ASA304,,8.946,4.9,-107.106383,44.282071,33000,False,549.3,109.13,64.0,,32650.0,6613,False,0,0
a54999,N44PR,,1.314,1.3,-107.006358,37.618025,40000,False,444.6,265.1,0.0,,40800.0,1104,False,0,0
abf431,N87CB,,6.275,1.7,-106.999432,39.424118,28000,False,158.1,304.7,0.0,,28575.0,,False,0,0
a0f4b5,DAL951,,0.081,0.0,-106.978394,40.343765,35025,False,526.0,58.61,64.0,,35375.0,6762,False,0,0
a642cd,EJA502,,16.606,16.6,-106.937607,40.290867,11725,False,242.0,313.0,40.0,,,3112,False,0,0
a44a61,DAL678,,0.467,0.2,-106.935238,41.987,36000,False,329.0,269.83,-64.0,,36075.0,3263,False,0,0
a3cd6b,DAL2873,,2.661,2.3,-106.900316,37.78701,36025,False,376.4,311.01,0.0,,36900.0,7473,False,0,0
acfdf4,SWA3823,,1.726,0.2,-106.863357,38.366725,37625,False,490.4,55.89,-1024.0,,38325.0,6746,False,0,0
a5521c,ASA783,,0.348,0.1,-106.835398,41.539446,36000,False,327.3,299.46,0.0,,36150.0,3224,False,0,0
a9a474,N720KG,,4.594,4.6,-106.819031,39.65329,7750,False,160.0,262.1,39.0,,,3553,False,0,0
a00510,N100DS,,1.201,0.3,-106.811062,42.385766,30000,False,319.5,204.8,0.0,,30025.0,0637,False,0,0
a071c2,DAL935,,0.312,0.3,-106.748274,42.979385,32050,False,367.1,251.91,-64.0,,32025.0,7472,False,0,0
aa2d14,SKW4964,,0.268,0.1,-106.744263,39.255594,18975,False,268.0,226.06,,,19400.0,2066,False,0,0
ada227,JBU724,,0.238,0.0,-106.725748,40.655559,35025,False,519.9,57.81,0.0,,35425.0,7610,False,0,0
a136f6,N178AS,,1.92,1.7,-106.613841,37.585602,47000,False,439.6,254.7,-64.0,,47550.0,3344,False,0,0
a1099f,SKW5388,,0.363,0.0,-106.611009,42.070887,32000,False,356.5,318.98,-64.0,,32125.0,0615,False,0,0
a6c393,LXJ535,,0.225,0.2,-106.424752,43.390228,42975,False,409.7,246.25,,,42825.0,1442,False,0,0
ad8901,SKW5079,,0.52,0.1,-106.336932,43.805376,21325,False,343.9,339.93,,,21225.0,1434,False,0,0
a1b1bc,SWA3111,,0.814,0.6,-106.258789,40.419708,18975,False,422.9,93.8,256.0,,19300.0,5176,False,0,0
a305fd,SKW3694,,0.363,0.1,-106.245789,39.378166,31875,False,333.1,249.99,1024.0,,32475.0,3261,False,0,0
aa7a3c,SWA2387,,0.075,0.1,-106.151188,38.366226,36000,False,368.9,256.68,64.0,,36725.0,2601,False,0,0
ab56c1,N83HS,,0.348,0.1,-106.056051,37.514511,43000,False,447.6,254.85,-64.0,,43650.0,6714,False,0,0
a4ba76,AAL1861,,0.102,0.0,-105.995033,40.099399,18200,False,280.8,265.71,-896.0,,18550.0,6271,False,0,0
a240dc,SWA2491,,0.153,0.0,-105.98201,37.852341,38000,False,391.7,225.41,0.0,,38750.0,1446,False,0,0
a254f7,UAL713,,0.238,0.1,-105.979864,40.094139,36975,False,580.7,87.14,,,37425.0,6001,False,0,0
a43ec9,UAL464,,0.238,0.2,-105.960076,40.436112,25375,False,457.0,96.53,-2304.0,,25750.0,4064,False,0,0
